class,precision,recall,f1,support
A,1.0,0.9962894248608535,0.9981412639405205,539
B,1.0,1.0,1.0,562
C,1.0,0.9659090909090909,0.9826589595375722,528
D,1.0,1.0,1.0,550
E,1.0,1.0,1.0,574
F,1.0,1.0,1.0,450
G,1.0,1.0,1.0,550
I,1.0,1.0,1.0,550
L,1.0,1.0,1.0,550
M,0.9981851179673321,1.0,0.9990917347865577,550
N,0.9981818181818182,0.9981818181818182,0.9981818181818182,550
O,0.965183752417795,1.0,0.9822834645669292,499
P,0.9981851179673321,1.0,0.9990917347865577,550
Q,1.0,1.0,1.0,550
R,0.9981851179673321,1.0,0.9990917347865577,550
S,1.0,1.0,1.0,550
T,1.0,1.0,1.0,550
U,1.0,0.9981818181818182,0.9990900818926297,550
V,1.0,1.0,1.0,550
W,1.0,1.0,1.0,550
Y,1.0,1.0,1.0,550
